Date,Open,High,Low,Close*,Adj Close**,Volume
"May 10, 2019",2863.1,2891.31,2825.39,2881.4,2881.4,3529600000
"May 09, 2019",2859.84,2875.97,2836.4,2870.72,2870.72,3638820000
"May 08, 2019",2879.61,2897.96,2873.28,2879.42,2879.42,3485790000
"May 07, 2019",2913.03,2913.03,2862.6,2884.05,2884.05,3767100000
"May 06, 2019",2908.89,2937.32,2898.21,2932.47,2932.47,3181520000
"May 03, 2019",2929.21,2947.85,2929.21,2945.64,2945.64,3338120000
"May 02, 2019",2922.16,2931.68,2900.5,2917.52,2917.52,3778890000
"May 01, 2019",2952.33,2954.13,2923.36,2923.73,2923.73,3645850000
"Apr 30, 2019",2937.14,2948.22,2924.11,2945.83,2945.83,3919330000
"Apr 29, 2019",2940.58,2949.52,2939.35,2943.03,2943.03,3118780000
"Apr 26, 2019",2925.81,2939.88,2917.56,2939.88,2939.88,3248500000
"Apr 25, 2019",2928.99,2933.1,2912.84,2926.17,2926.17,3425280000
"Apr 24, 2019",2934,2936.83,2926.05,2927.25,2927.25,3448960000
"Apr 23, 2019",2909.99,2936.31,2908.53,2933.68,2933.68,3635030000
"Apr 22, 2019",2898.78,2909.51,2896.35,2907.97,2907.97,2997950000
"Apr 18, 2019",2904.81,2908.4,2891.9,2905.03,2905.03,3506850000
"Apr 17, 2019",2916.04,2918,2895.45,2900.45,2900.45,3602300000
"Apr 16, 2019",2912.26,2916.06,2900.71,2907.06,2907.06,3402210000
"Apr 15, 2019",2908.32,2909.6,2896.48,2905.58,2905.58,3088330000
"Apr 12, 2019",2900.86,2910.54,2898.37,2907.41,2907.41,3688490000
"Apr 11, 2019",2891.92,2893.42,2881.99,2888.32,2888.32,2938540000
"Apr 10, 2019",2881.37,2889.71,2879.13,2888.21,2888.21,3062380000
"Apr 09, 2019",2886.58,2886.88,2873.33,2878.2,2878.2,3007980000
"Apr 08, 2019",2888.46,2895.95,2880.78,2895.77,2895.77,3054030000
"Apr 05, 2019",2884.16,2893.24,2882.99,2892.74,2892.74,3146820000
"Apr 04, 2019",2873.99,2881.28,2867.14,2879.39,2879.39,3015180000
"Apr 03, 2019",2876.09,2885.25,2865.17,2873.4,2873.4,3550240000
"Apr 02, 2019",2868.24,2872.9,2858.75,2867.24,2867.24,3246900000
"Apr 01, 2019",2848.63,2869.4,2848.63,2867.19,2867.19,3500760000
"Mar 29, 2019",2828.27,2836.03,2819.23,2834.4,2834.4,3740700000
"Mar 28, 2019",2809.4,2819.71,2798.77,2815.44,2815.44,3158170000
"Mar 27, 2019",2819.72,2825.56,2787.72,2805.37,2805.37,3372930000
"Mar 26, 2019",2812.66,2829.87,2803.99,2818.46,2818.46,3266050000
"Mar 25, 2019",2796.01,2809.79,2785.02,2798.36,2798.36,3376580000
"Mar 22, 2019",2844.52,2846.16,2800.47,2800.71,2800.71,4237200000
"Mar 21, 2019",2819.72,2860.31,2817.38,2854.88,2854.88,3546800000
"Mar 20, 2019",2831.34,2843.54,2812.43,2824.23,2824.23,3771200000
"Mar 19, 2019",2840.76,2852.42,2823.27,2832.57,2832.57,3620220000
"Mar 18, 2019",2822.61,2835.41,2821.99,2832.94,2832.94,3552190000
"Mar 15, 2019",2810.79,2830.73,2810.79,2822.48,2822.48,5962730000
"Mar 14, 2019",2810.38,2815,2803.46,2808.48,2808.48,3469730000
"Mar 13, 2019",2799.78,2821.24,2799.78,2810.92,2810.92,3766150000
"Mar 12, 2019",2787.34,2798.32,2786.73,2791.52,2791.52,3414230000
"Mar 11, 2019",2747.61,2784,2747.61,2783.3,2783.3,3749030000
"Mar 08, 2019",2730.79,2744.13,2722.27,2743.07,2743.07,3423130000
"Mar 07, 2019",2766.53,2767.25,2739.09,2748.93,2748.93,3904860000
"Mar 06, 2019",2790.27,2790.27,2768.69,2771.45,2771.45,3786600000
"Mar 05, 2019",2794.41,2796.44,2782.97,2789.65,2789.65,3585690000
"Mar 04, 2019",2814.37,2816.88,2767.66,2792.81,2792.81,3919810000
"Mar 01, 2019",2798.22,2808.02,2787.38,2803.69,2803.69,3972280000
"Feb 28, 2019",2788.11,2793.73,2782.51,2784.49,2784.49,4396930000
"Feb 27, 2019",2787.5,2795.76,2775.13,2792.38,2792.38,3767130000
"Feb 26, 2019",2792.36,2803.12,2789.47,2793.9,2793.9,3645680000
"Feb 25, 2019",2804.35,2813.49,2794.99,2796.11,2796.11,3804380000
"Feb 22, 2019",2780.67,2794.2,2779.11,2792.67,2792.67,3427810000
"Feb 21, 2019",2780.24,2781.58,2764.55,2774.88,2774.88,3559710000
"Feb 20, 2019",2779.05,2789.88,2774.06,2784.7,2784.7,3835450000
"Feb 19, 2019",2769.28,2787.33,2767.29,2779.76,2779.76,3533710000
"Feb 15, 2019",2760.24,2775.66,2760.24,2775.6,2775.6,3641370000
"Feb 14, 2019",2743.5,2757.9,2731.23,2745.73,2745.73,3836700000
"Feb 13, 2019",2750.3,2761.85,2748.63,2753.03,2753.03,3670770000
"Feb 12, 2019",2722.61,2748.19,2722.61,2744.73,2744.73,3827770000
"Feb 11, 2019",2712.4,2718.05,2703.79,2709.8,2709.8,3361970000
"Feb 08, 2019",2692.36,2708.07,2681.83,2707.88,2707.88,3622330000
"Feb 07, 2019",2717.53,2719.32,2687.26,2706.05,2706.05,4099490000
"Feb 06, 2019",2735.05,2738.08,2724.15,2731.61,2731.61,3472690000
"Feb 05, 2019",2728.34,2738.98,2724.03,2737.7,2737.7,3560430000
"Feb 04, 2019",2706.49,2724.99,2698.75,2724.87,2724.87,3359840000
"Feb 01, 2019",2702.32,2716.66,2696.88,2706.53,2706.53,3759270000
"Jan 31, 2019",2685.49,2708.95,2678.65,2704.1,2704.1,4917650000
"Jan 30, 2019",2653.62,2690.44,2648.34,2681.05,2681.05,3867810000
"Jan 29, 2019",2644.89,2650.93,2631.05,2640,2640,3504200000
"Jan 28, 2019",2644.97,2644.97,2624.06,2643.85,2643.85,3612810000
"Jan 25, 2019",2657.44,2672.38,2657.33,2664.76,2664.76,3814080000
"Jan 24, 2019",2638.84,2647.2,2627.01,2642.33,2642.33,3433250000
"Jan 23, 2019",2643.48,2653.19,2612.86,2638.7,2638.7,3335610000
"Jan 22, 2019",2657.88,2657.88,2617.27,2632.9,2632.9,3908030000
"Jan 18, 2019",2651.27,2675.47,2647.58,2670.71,2670.71,3986730000
"Jan 17, 2019",2609.28,2645.06,2606.36,2635.96,2635.96,3772270000
"Jan 16, 2019",2614.75,2625.76,2612.68,2616.1,2616.1,3863770000
"Jan 15, 2019",2585.1,2613.08,2585.1,2610.3,2610.3,3572330000
"Jan 14, 2019",2580.31,2589.32,2570.41,2582.61,2582.61,3664450000
"Jan 11, 2019",2588.11,2596.27,2577.4,2596.26,2596.26,3434490000
"Jan 10, 2019",2573.51,2597.82,2562.02,2596.64,2596.64,3704500000
"Jan 09, 2019",2580,2595.32,2568.89,2584.96,2584.96,4052480000
"Jan 08, 2019",2568.11,2579.82,2547.56,2574.41,2574.41,4083030000
"Jan 07, 2019",2535.61,2566.16,2524.56,2549.69,2549.69,4104710000
"Jan 04, 2019",2474.33,2538.07,2474.33,2531.94,2531.94,4213410000
