,Date,Open,High,Low,Close*,Adj Close**,Volume
140,"Jan 25, 2016",1906.28,1906.28,1875.97,1877.08,1877.08,4401380000.0
141,"Jan 22, 2016",1877.4,1908.85,1877.4,1906.9,1906.9,4901760000.0
142,"Jan 21, 2016",1861.46,1889.85,1848.98,1868.99,1868.99,5078810000.0
143,"Jan 20, 2016",1876.18,1876.18,1812.29,1859.33,1859.33,6416070000.0
144,"Jan 19, 2016",1888.66,1901.44,1864.6,1881.33,1881.33,4928350000.0
145,"Jan 15, 2016",1916.68,1916.68,1857.83,1880.33,1880.33,5468460000.0
146,"Jan 14, 2016",1891.68,1934.47,1878.93,1921.84,1921.84,5241110000.0
147,"Jan 13, 2016",1940.34,1950.33,1886.41,1890.28,1890.28,5087030000.0
148,"Jan 12, 2016",1927.83,1947.38,1914.35,1938.68,1938.68,4887260000.0
149,"Jan 11, 2016",1926.12,1935.65,1901.1,1923.67,1923.67,4607290000.0
150,"Jan 08, 2016",1945.97,1960.4,1918.46,1922.03,1922.03,4664940000.0
151,"Jan 07, 2016",1985.32,1985.32,1938.83,1943.09,1943.09,5076590000.0
152,"Jan 06, 2016",2011.71,2011.71,1979.05,1990.26,1990.26,4336660000.0
153,"Jan 05, 2016",2013.78,2021.94,2004.17,2016.71,2016.71,3706620000.0
154,"Jan 04, 2016",2038.2,2038.2,1989.68,2012.66,2012.66,4304880000.0
155,"Dec 31, 2015",2060.59,2062.54,2043.62,2043.94,2043.94,2655330000.0
156,"Dec 30, 2015",2077.34,2077.34,2061.97,2063.36,2063.36,2367430000.0
157,"Dec 29, 2015",2060.54,2081.56,2060.54,2078.36,2078.36,2542000000.0
158,"Dec 28, 2015",2057.77,2057.77,2044.2,2056.5,2056.5,2492510000.0
159,"Dec 24, 2015",2063.52,2067.36,2058.73,2060.99,2060.99,1411860000.0
160,"Dec 23, 2015",2042.2,2064.73,2042.2,2064.29,2064.29,3484090000.0
161,"Dec 22, 2015",2023.15,2042.74,2020.49,2038.97,2038.97,3520860000.0
162,"Dec 21, 2015",2010.27,2022.9,2005.93,2021.15,2021.15,3760280000.0
163,"Dec 18, 2015",2040.81,2040.81,2005.33,2005.55,2005.55,6683070000.0
164,"Dec 17, 2015",2073.76,2076.37,2041.66,2041.89,2041.89,4327390000.0
165,"Dec 16, 2015",2046.5,2076.72,2042.43,2073.07,2073.07,4635450000.0
166,"Dec 15, 2015",2025.55,2053.87,2025.55,2043.41,2043.41,4353540000.0
167,"Dec 14, 2015",2013.37,2022.92,1993.26,2021.94,2021.94,4612440000.0
168,"Dec 11, 2015",2047.27,2047.27,2008.8,2012.37,2012.37,4301060000.0
169,"Dec 10, 2015",2047.93,2067.65,2045.67,2052.23,2052.23,3715150000.0
170,"Dec 09, 2015",2061.17,2080.33,2036.53,2047.62,2047.62,4385250000.0
171,"Dec 08, 2015",2073.39,2073.85,2052.32,2063.59,2063.59,4173570000.0
172,"Dec 07, 2015",2090.42,2090.42,2066.78,2077.07,2077.07,4043820000.0
173,"Dec 04, 2015",2051.24,2093.84,2051.24,2091.69,2091.69,4214910000.0
174,"Dec 03, 2015",2080.71,2085.0,2042.35,2049.62,2049.62,4306490000.0
175,"Dec 02, 2015",2101.71,2104.27,2077.11,2079.51,2079.51,3950640000.0
176,"Dec 01, 2015",2082.93,2103.37,2082.93,2102.63,2102.63,3712120000.0
177,"Nov 30, 2015",2090.95,2093.81,2080.41,2080.41,2080.41,4275030000.0
178,"Nov 27, 2015",2088.82,2093.29,2084.13,2090.11,2090.11,1466840000.0
179,"Nov 25, 2015",2089.3,2093.0,2086.3,2088.87,2088.87,2852940000.0
180,"Nov 24, 2015",2084.42,2094.12,2070.29,2089.14,2089.14,3884930000.0
181,"Nov 23, 2015",2089.41,2095.61,2081.39,2086.59,2086.59,3587980000.0
182,"Nov 20, 2015",2082.82,2097.06,2082.82,2089.17,2089.17,3929600000.0
183,"Nov 19, 2015",2083.7,2086.74,2078.76,2081.24,2081.24,3628110000.0
184,"Nov 18, 2015",2051.99,2085.31,2051.99,2083.58,2083.58,3926390000.0
185,"Nov 17, 2015",2053.67,2066.69,2045.9,2050.44,2050.44,4427350000.0
186,"Nov 16, 2015",2022.08,2053.22,2019.39,2053.19,2053.19,3741240000.0
187,"Nov 13, 2015",2044.64,2044.64,2022.02,2023.04,2023.04,4278750000.0
188,"Nov 12, 2015",2072.29,2072.29,2045.66,2045.97,2045.97,4016370000.0
189,"Nov 11, 2015",2083.41,2086.94,2074.85,2075.0,2075.0,3692410000.0
190,"Nov 10, 2015",2077.19,2083.67,2069.91,2081.72,2081.72,3821440000.0
191,"Nov 09, 2015",2096.56,2096.56,2068.24,2078.58,2078.58,3882350000.0
192,"Nov 06, 2015",2098.6,2101.91,2083.74,2099.2,2099.2,4369020000.0
